Year,Conference,Wins,Losses,Ties, Win_Percent, Simple_Rating_Score, Strength_of_schedule, Highest_rank, Coach, Bowl
2017,Big Ten,12,1,0,.923,22.65,5.73,4,Paul Chryst,Orange Bowl
2016,Big Ten,11,3,0,.786,15.30,5.30,5,Paul Chryst,Cotton Bowl-W
2015,Big Ten,10,3,0,.769,10.85,1.39,19,Paul Chryst,Holiday Bowl-W
2014,Big Ten,11,3,0,.786,12.70,1.91,11,Barry Alvarez,Outback Bowl-W
2013,Big Ten,9,4,0,.692,14.20,2.28,14,Gary Andersen,Capital One Bowl-L
2012,Big Ten,8,6,0,.571,9.77,2.91,12,Bret Bielema,Rose Bowl-L
2011,Big Ten,11,3,0,.786,15.89,0.68,4,Bret Bielema,Rose Bowl-L
2010,Big Ten,11,2,0,.846,14.02,0.64,4,Bret Bielema,Rose Bowl-L
2009,Big Ten,10,3,0,.769,8.19,0.35,16,Bret Bielema,Champs Sports Bowl-W
2008,Big Ten,7,6,0,.538,1.82,1.13,8,Bret Bielema,Champs Sports Bowl-L
2007,Big Ten,9,4,0,.692,5.31,0.08,5,Bret Bielema,Outback Bowl-L
2006,Big Ten,12,1,0,.923,11.97,-2.88,6,Bret Bielema,Capital One Bowl-W
2005,Big Ten,10,3,0,.769,11.81,4.19,14,Barry Alvarez,Capital One Bowl-W
2004,Big Ten,9,3,0,.750,8.69,2.35,4,Barry Alvarez,Outback Bowl-L
2003,Big Ten,7,6,0,.538,6.44,4.21,14,Barry Alvarez,Music City Bowl-L
2002,Big Ten,8,6,0,.571,8.55,4.77,19,Barry Alvarez,Alamo Bowl-W
2001,Big Ten,5,7,0,.417,2.91,5.33,22,Barry Alvarez,No Bowl
2000,Big Ten,9,4,0,.692,9.65,4.42,4,Barry Alvarez,Sun Bowl-W
1999,Big Ten,10,2,0,.833,14.88,0.88,4,Barry Alvarez,Rose Bowl-W
1998,Big Ten,11,1,0,.917,16.45,1.78,6,Barry Alvarez,Rose Bowl-W
1997,Big Ten,8,5,0,.615,1.66,1.58,23,Barry Alvarez,Outback Bowl-L
1996,Big Ten,8,5,0,.615,8.99,2.07,0,Barry Alvarez,Copper Bowl-W
1995,Big Ten,4,5,2,.455,8.12,9.94,21,Barry Alvarez,No Bowl
